Factor	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)	Formula	Mode	Group1	Group2	p	q	sType	Metric
Trt	5	0.718432034017643	0.143686406803529	2.19679771300881	0.174744788655966	0.001	'Trt + rstc_run'	General					FR	bray_curtis
rstc_run	1	0.776601269028525	0.776601269028525	11.8733283800073	0.188893337435747	0.001	'Trt + rstc_run'	General					FR	bray_curtis
Trt	1	0.0948477854086543	0.0948477854086543	1.42330941102559	0.0741083562844604		'Trt + rstc_run'	Pairwise	FV2	TMR	0.155	0.21136363636363636	FR	bray_curtis
Trt	1	0.0617727415140894	0.0617727415140894	1.08438299999452	0.0564325719113569		'Trt + rstc_run'	Pairwise	FV2	FV1	0.318	0.3407142857142857	FR	bray_curtis
Trt	1	0.263328691798146	0.263328691798146	3.97961478341854	0.182318008506629		'Trt + rstc_run'	Pairwise	FV2	AT	0.001	0.002142857142857143	FR	bray_curtis
Trt	1	0.0519978796639324	0.0519978796639324	0.860051021085242	0.0445916915066587		'Trt + rstc_run'	Pairwise	FV2	AN2	0.475	0.475	FR	bray_curtis
Trt	1	0.125417309212983	0.125417309212983	2.04293895895696	0.105721097215215		'Trt + rstc_run'	Pairwise	FV2	AN1	0.059	0.08428571428571428	FR	bray_curtis
Trt	1	0.0691505741373568	0.0691505741373568	1.03011957367513	0.057792441588953		'Trt + rstc_run'	Pairwise	TMR	FV1	0.393	0.40655172413793106	FR	bray_curtis
Trt	1	0.244041790208664	0.244041790208664	3.35651904530587	0.160598555534977		'Trt + rstc_run'	Pairwise	TMR	AT	0.002	0.0033333333333333335	FR	bray_curtis
Trt	1	0.0930812009797623	0.0930812009797623	1.37091307403696	0.0715075000937032		'Trt + rstc_run'	Pairwise	TMR	AN2	0.194	0.2328	FR	bray_curtis
Trt	1	0.0942851063445727	0.0942851063445727	1.40271964678527	0.0754463458170484		'Trt + rstc_run'	Pairwise	TMR	AN1	0.164	0.21391304347826087	FR	bray_curtis
Trt	1	0.25309148259445	0.25309148259445	3.84700574894243	0.183868935127073		'Trt + rstc_run'	Pairwise	FV1	AT	0.001	0.002142857142857143	FR	bray_curtis
Trt	1	0.0758098253085116	0.0758098253085116	1.24349498133705	0.0669533359656304		'Trt + rstc_run'	Pairwise	FV1	AN2	0.255	0.2833333333333333	FR	bray_curtis
Trt	1	0.0850650753619003	0.0850650753619003	1.39478810819943	0.0781611838522077		'Trt + rstc_run'	Pairwise	FV1	AN1	0.191	0.2328	FR	bray_curtis
Trt	1	0.240798456928658	0.240798456928658	3.50285861382489	0.166594193707337		'Trt + rstc_run'	Pairwise	AT	AN2	0.004	0.006	FR	bray_curtis
Trt	1	0.303815616096	0.303815616096	4.56891323850697	0.208774760713109		'Trt + rstc_run'	Pairwise	AT	AN1	0.001	0.002142857142857143	FR	bray_curtis
Trt	1	0.0879461705514154	0.0879461705514154	1.42822147487584	0.0750109377953186		'Trt + rstc_run'	Pairwise	AN2	AN1	0.206	0.23769230769230767	FR	bray_curtis
