feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	sType
K03421	Trt	AT	-4.94938126330401	0.665223269715664	24	23	6.77807033595757e-07	0.0001280631664099	FR
K19813	Trt	AT	2.21328379562969	0.290218013489131	24	4	6.95774161682833e-07	0.0001298348944918	FR
K04035	Trt	AN2	4.60870578223812	0.605629560262449	24	17	7.16183910849904e-07	0.0001312839852062	FR
K11780	Trt	AT	-3.36917645906375	0.454865289664484	24	21	7.20911066630166e-07	0.0001312839852062	FR
K18282	Trt	AT	-3.71374510769691	0.489577943762362	24	21	7.47211423866364e-07	0.0001328717726087	FR
K02713	Trt	FV1	4.97961628960083	0.656274971996972	24	16	7.44470693408456e-07	0.0001328717726087	FR
K01602	Trt	FV2	3.6591705284003	0.486130370380098	24	16	8.28200681122083e-07	0.0001455610848274	FR
K03848	Trt	AN1	3.1852803685921	0.436518807475906	24	8	8.85159934366164e-07	0.0001537838207809	FR
K00164	Trt	FV2	5.24171100433278	0.701447376417205	24	24	9.11842800210667e-07	0.0001566193627861	FR
K01202	Trt	AN2	3.19412274151479	0.44018036984024	24	24	9.55255294635115e-07	0.0001622324020046	FR
K08903	Trt	FV2	5.08545749317167	0.704323862906672	24	15	1.02231775913838e-06	0.0001716925881041	FR
K19712	Trt	AT	-5.8465322075022	0.810483936577273	24	23	1.03532523076519e-06	0.00017196638311	FR
K02720	Trt	FV2	4.13814878705198	0.561944614461353	24	16	1.1063701709946e-06	0.0001817694036367	FR
K00194	Trt	AT	-2.7847164928912	0.3787259869241	24	24	1.12858315544508e-06	0.0001834251010166	FR
K00471	Trt	AT	2.17019020634848	0.300248514676845	24	4	1.41226535603109e-06	0.0002266539936411	FR
K00021	Trt	AT	-5.38065848980352	0.7449156161862	24	24	1.42455371458203e-06	0.0002266539936411	FR
K04035	Trt	AN1	4.36838043707296	0.605629560262449	24	17	1.45108491534335e-06	0.0002284702968272	FR
K01729	Trt	FV1	4.53357874209086	0.648754139480184	24	24	1.58924981143931e-06	0.000247644442267	FR
K00400	Trt	AT	-4.69448739354654	0.672635625816926	24	24	1.61654991098217e-06	0.0002493280806581	FR
K18594	Trt	AT	-3.98627656285169	0.574023928561392	24	20	1.7282082478351e-06	0.0002638572491517	FR
K00399	Trt	AT	-5.57085741589916	0.805192477074945	24	23	1.81605458048718e-06	0.0002744966498406	FR
K02713	Trt	FV2	4.64745389702305	0.656274971996972	24	16	1.84188710706431e-06	0.0002756447883492	FR
K07732	Trt	AT	-3.98530751920976	0.578136566989238	24	24	1.90677558577181e-06	0.0002825579703817	FR
K06974	Trt	AT	-4.10136833330597	0.596498911832187	24	22	1.97277301849376e-06	0.0002894996521799	FR
K14138	Trt	AT	-2.65971476077867	0.377927133703944	24	24	1.99578745866864e-06	0.0002900608407478	FR
K01729	Trt	FV2	4.45215431567443	0.648754139480184	24	24	2.02338730476852e-06	0.0002912714201102	FR
K02640	Trt	FV2	4.14901956655096	0.594519709081242	24	16	2.22328798974466e-06	0.0003170282826885	FR
K04038	Trt	AN2	2.17031401439178	0.311251598567504	24	16	2.2475940669761e-06	0.0003174989189004	FR
K02693	Trt	FV2	4.4965781687665	0.647146748138221	24	17	2.35146042493453e-06	0.0003290955955822	FR
K02201	Trt	AT	-3.60471019535179	0.52016995612514	24	23	2.4327739068562e-06	0.0003373520880929	FR
K07256	Trt	AT	3.48898649702564	0.508202564293979	24	4	2.74102586034604e-06	0.0003766418716284	FR
K02693	Trt	FV1	4.43797722600884	0.647146748138221	24	17	2.77984536986566e-06	0.0003785347996893	FR
K06981	Trt	AT	-5.31714809586909	0.794888641189559	24	23	2.83502790976669e-06	0.0003826022040725	FR
K17616	Trt	FV1	3.9549353713078	0.578524193305564	24	13	2.8930652764286e-06	0.0003835849267826	FR
K08906	Trt	FV2	4.21872705646307	0.617089977856517	24	16	2.8917909184824e-06	0.0003835849267826	FR
K00150	Trt	AT	-2.14345325589787	0.314208181523557	24	24	2.97200949490254e-06	0.0003891366602508	FR
K18210	Trt	AT	-1.75791599897334	0.263888089853678	24	24	2.99233044698246e-06	0.0003891366602508	FR
K02699	Trt	FV1	3.74924792432496	0.550183270663151	24	16	3.01217262648722e-06	0.0003891366602508	FR
K21220	Trt	AT	-3.62456606941456	0.546445312901351	24	21	3.1650820091085e-06	0.0004054255471836	FR
K00734	Trt	FV1	3.00436747550467	0.446973610842126	24	6	3.5829728858048e-06	0.0004550977745289	FR
K12444	Trt	AT	-3.04244714182385	0.463528526185988	24	20	3.62787353189286e-06	0.0004569609036213	FR
K19696	Trt	AT	4.49348876137265	0.674601893703419	24	21	4.01483331486009e-06	0.0005015223599513	FR
K10678	Trt	AT	1.29543368635824	0.194776276376975	24	24	4.09163256897177e-06	0.0005069264449181	FR
K09699	Trt	AT	4.2516037493091	0.658095831538456	24	12	4.4505010611987e-06	0.000546905069431	FR
K01959	Trt	AT	-2.71693949587622	0.412614597640967	24	24	4.63599138018448e-06	0.0005651049170281	FR
K02692	Trt	AN2	2.99275638922248	0.456868881255705	24	16	4.94537337308206e-06	0.000597994548273	FR
K11646	Trt	AT	-3.02237282245091	0.461835968914749	24	24	5.00505497707568e-06	0.0006004079839563	FR
K06445	Trt	AT	4.10856184800736	0.64278873175844	24	11	5.10298806958634e-06	0.0006073359422976	FR
K09739	Trt	AT	-5.00997105535923	0.785702907505106	24	23	5.26194781409824e-06	0.0006213620407038	FR
K02723	Trt	FV1	5.26555138201879	0.809638343329569	24	16	5.40713450716336e-06	0.0006299670371684	FR
K10713	Trt	AT	-2.9300937701674	0.45060947276303	24	20	5.41817498060834e-06	0.0006299670371684	FR
K03848	Trt	AN2	2.75247118173081	0.436518807475906	24	8	6.06513711847592e-06	0.0006998057064562	FR
K00205	Trt	AT	-5.00665700396353	0.798007559472827	24	24	6.46231685405133e-06	0.0007399842367347	FR
K22012	Trt	AT	-3.25365707257351	0.509368104257892	24	20	6.74801340156899e-06	0.000766888891464	FR
K01202	Trt	AN1	2.7341241115712	0.44018036984024	24	24	7.33131200231329e-06	0.0008269610516042	FR
K19028	Trt	AT	-3.84226787191098	0.622262553347263	24	22	7.89626666033157e-06	0.0008840894116363	FR
K02639	Trt	FV1	2.78925897019526	0.452784142104631	24	24	1.04749193650942e-05	0.0011641794573779	FR
K12421	Trt	AT	-5.13945102038623	0.837085852004999	24	20	1.09032227355257e-05	0.0011925033217066	FR
K00164	Trt	AT	4.30459448918978	0.701447376417206	24	24	1.09664546289925e-05	0.0011925033217066	FR
K15023	Trt	AT	-4.24867619111407	0.691845022138994	24	24	1.08737541325575e-05	0.0011925033217066	FR
K22474	Trt	AT	3.30022574747856	0.549384133404381	24	7	1.11064751494693e-05	0.0011991026563159	FR
K01622	Trt	AT	-5.74899758109017	0.95917377044952	24	23	1.14164091918161e-05	0.0012238228718744	FR
