# Constructed from biom file
#OTU ID	s1	s80	s4	s83	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s100	s102	s104	s106	s108	s110	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	s88	s90	s92	s94	s96	s98	s9
k_Archaea;p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomassiliicoccaceae;g_Candidatus Methanoplasma;s_Candidatus Methanoplasma termitum	7.611576192511985e-06	5.4195842094994474e-06	0.0	0.0	8.708381555996199e-07	0.0	1.1541373515779367e-06	1.6567118990432904e-06	3.88176702269528e-06	5.717279118281214e-06	0.0	0.00011195500794442948	5.886088010259451e-06	1.184870623976568e-06	1.3925801934711664e-06	7.369050136806415e-07	9.95670747001978e-06	6.77972134497807e-06	4.3003086116475145e-06	6.626103867491175e-06	3.3951465022691462e-06	3.324807050364177e-06	0.0	3.349769535855933e-05	2.1736014181786266e-05	9.796071905780074e-07	5.77747478132258e-06	1.6049883036477372e-06	0.0	0.00011887235851903329	4.336458134047574e-05	0.0	2.1273608386907372e-05	0.0	1.3492636393688144e-05	0.0	2.6452927016374362e-05	3.1814306257237754e-05	4.6169010898195025e-06	0.0	0.0	2.3773128282177525e-05	1.882537208347923e-05	8.86426592797784e-06	2.990769204476754e-05	0.0	0.0	0.0	3.193296631710713e-06	0.0	2.477869527780015e-05	2.7113007013231148e-05
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter;s_Methanobrevibacter smithii	0.0012521042836682215	0.0014741269049838497	0.0018381539200951118	0.001997133098768687	0.000279539047947478	0.00015183729890005818	0.00012608950565988958	0.0003230588203134416	0.00018173727424436993	0.00032088229051353313	0.00013971624899975868	0.0001870779122980206	0.0003163772305514455	0.00028752860475164715	0.0005800096505807408	0.000343397736375179	0.0004143522108677462	0.0003610201616200822	0.00018921357891249065	0.00020739705105247378	0.00026651900042812797	0.00023901668462062475	7.531781427702969e-05	2.6798156286847464e-05	0.00025753049714116386	0.0002579632268522086	0.0004206723825150503	0.00032260264903319515	0.0	0.0006766580408006511	0.000658121293284867	0.00016078920288134253	0.0004807835495441066	0.0007699760483465403	0.0008590311837314785	0.000658906215681968	0.0005577158779285595	0.0006596166164000627	0.001724412557047584	0.0	0.0	0.000767872043514334	0.001566270957345472	0.001329639889196676	0.0010702681224591813	9.775935557032807e-05	0.0001449093619807995	4.829177145361947e-05	0.000161261479901391	0.0003124542303373529	0.0005595855350236533	0.0008653568071722941
k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanosarcina;s_Methanosarcina mazei	7.611576192511985e-06	8.12937631424917e-06	1.6863797432065246e-05	0.0	1.3497991411794109e-05	2.027501023888017e-05	6.347755433678652e-05	8.283559495216452e-06	3.88176702269528e-06	4.645289283603487e-06	0.0	1.4586971719143905e-05	1.0668534518595255e-05	8.294094367835976e-06	4.177740580413499e-05	1.2895837739411227e-05	2.2977017238507184e-06	6.77972134497807e-06	1.5051080140766303e-06	9.939155801236762e-07	1.2222527408168927e-05	1.5885189240628848e-05	0.0	0.0	9.905019120813994e-06	1.6326786509633457e-06	1.0471673041147176e-05	1.6049883036477372e-06	0.0	0.0	0.0	0.0	8.509443354762948e-06	0.0	8.99509092912543e-06	2.440393391414696e-05	2.2044105846978634e-05	0.0	0.0	0.0	0.0	1.4263876969306514e-05	3.765074416695846e-06	6.6481994459833796e-06	2.136263717483396e-06	0.0	0.0	1.4859006601113683e-05	4.789944947566069e-06	0.0	2.0648912731500124e-05	9.037669004410382e-06
k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanosarcina;s_Unclassified Methanosarcina	0.00012812819924061842	0.00012194064471373756	3.583556954313865e-05	1.8183305906846924e-05	5.050861302477796e-05	5.091280348874354e-05	0.00010069848392517496	0.00014827571496437447	4.4463876805418666e-05	0.00021404063699065296	0.0006223723819080159	6.19946298063616e-05	4.4145660076945886e-05	0.00024724300353644383	8.842884228541905e-05	0.00016064529298237987	5.284713964856652e-05	0.0002207646762958484	0.00022490614038916503	0.0003140773233190817	3.2253891771556886e-05	0.0002342141855478765	0.0006402014213547523	0.00030817879729874584	0.00016233225781334048	0.0002158401176573543	7.113515824503427e-05	0.0002961203420230075	0.0029891929179121637	0.0010058430336225895	0.0005305784069893502	0.000578841130372833	0.0017699642177906932	0.0006591676871453777	0.000836543456408665	0.0001816737302497607	0.00043647329577017695	0.00041782788884505584	0.0004524563068023112	0.0002905991185160072	2.422216570383558e-05	0.0020682621605494444	0.00023155207662679453	0.0004565096952908587	0.00033325713992740977	0.00024858807559312	0.0004375148044420293	0.0021136936890084213	0.000483784439704173	7.811355758433823e-05	0.0006277269470376037	0.0005128877160002892
k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanosarcinales;f_Methanotrichaceae;g_Methanothrix;s_Unclassified Methanothrix	0.0	0.0	0.0	0.0	0.0	0.0	5.770686757889683e-07	1.2011161268063855e-05	8.469309867698793e-06	4.2879593387109105e-06	0.0	3.6467429297859765e-07	0.0	7.89913749317712e-07	6.962900967355832e-07	9.948217684688662e-06	3.4465525857760774e-06	4.2373258406112936e-07	0.0	1.888439602234985e-05	1.3580586009076584e-06	4.8024990727482556e-06	0.0	0.0	5.502788400452219e-07	8.489928985009398e-06	0.0	9.22868274597449e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Thermoprotei archaeon (no order in NCBI);f_Thermoprotei archaeon (no family in NCBI);g_Thermoprotei archaeon (no genus in NCBI);s_Thermoprotei archaeon	5.074384128341323e-06	8.12937631424917e-06	9.696683523437516e-05	0.00024547462974243347	1.915843942319164e-05	3.6044462646898082e-06	2.8853433789448413e-06	7.4552035456948066e-06	1.4115516446164656e-06	3.930629393818335e-06	0.00021592511209053613	5.4701143946789645e-06	3.6788050064121573e-06	1.184870623976568e-06	5.2221757255168736e-06	5.1583350957644914e-06	2.2977017238507184e-06	5.084791008733552e-06	2.795200597570885e-06	3.3130519337455873e-06	2.037087901361488e-06	2.9553840447681575e-06	3.227906326158415e-05	3.349769535855933e-06	3.0265336202487204e-06	4.244964492504699e-06	1.0832765214979837e-06	2.4074824554716057e-06	0.002299379167624741	3.6576110313548705e-05	2.5508577259103375e-06	2.226312039895512e-05	8.509443354762948e-06	5.682480061598084e-06	1.3492636393688144e-05	5.423096425365991e-06	6.392790695623804e-05	1.0604768752412585e-05	0.0	0.0	0.000230110574186438	2.8527753938613028e-05	3.012059533356677e-05	2.2160664819944597e-05	4.272527434966792e-06	0.0	0.0	1.8573758251392104e-05	0.0	0.0	8.25956509260005e-06	9.037669004410382e-06
k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Haloferacales;f_Halorubraceae;g_Halorubrum;s_Unclassified Halorubrum	0.0	1.0839168418998895e-05	3.7943544222146805e-05	2.42444078757959e-05	5.66044801139753e-06	4.055002047776034e-06	1.1541373515779367e-06	7.86938152045563e-06	4.587542845003513e-06	1.4293197795703036e-06	0.0	1.4222297426165308e-05	7.357610012824314e-07	1.579827498635424e-06	3.1333054353101242e-06	8.8428601641677e-06	7.659005746169061e-07	2.1186629203056466e-06	2.1501543058237572e-06	0.0	3.395146502269146e-07	0.0	2.1519375507722764e-05	0.0	0.0	9.796071905780074e-07	3.6109217383266124e-06	8.024941518238686e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter;s_Methanobrevibacter sp.	0.23083246540221472	0.2070701185805025	0.2622784255115528	0.33675179484382056	0.009820877299774714	0.00789599009858611	0.0035631105386589846	0.007929023148821187	0.008085720708274268	0.012158151374969894	0.13563907482440207	0.032885963066516956	0.009997152604925038	0.007824885600741256	0.01756008809462304	0.012619129906774147	0.031433325482852444	0.021272223185036816	0.009730308295574832	0.02112567565552874	0.022132620533642337	0.01880658636888217	0.11797997622109006	0.13378309572301425	0.01157071316963088	0.027781986460522483	0.024357833678055996	0.02279123515887378	0.6031271556679696	0.08667623741553204	0.022019003890058033	0.008336301749386528	0.01973339913969528	0.023707306816987204	0.07626262966985768	0.04263638409622742	0.13198908375878457	0.0737837390717858	0.08474783640472679	0.27727999225069017	0.8530683428405333	0.03336083091837972	0.14793542144360483	0.06730193905817175	0.07863800370428128	0.00962231371256515	0.013702294862684447	0.010345583346025401	0.008195595805285545	0.01002538690621491	0.01869552558710021	0.08038780637697925
k_Archaea;p_Euryarchaeota;c_Unclassified Euryarchaeota;o_Unclassified Euryarchaeota;f_Unclassified Euryarchaeota;g_Unclassified Euryarchaeota;s_Unclassified Euryarchaeota	0.00035901267708014865	0.00047692341043595137	0.002352499741773102	0.0012394953526500654	0.000261251446679886	0.0002617729099730973	0.0005075319003563976	0.00038435716057804337	0.0003490061441314211	0.0001582971655874111	0.0015495802161791417	7.840497299039849e-05	0.00013280486073147886	0.00025711692540291526	0.00015213938613672492	9.542919927164309e-05	0.0002764901074367031	0.0003957662335130948	0.00034445471979296596	0.0002769711416611311	0.00030047046545081944	0.00029775494251039184	0.0020712398926183164	0.0005460124343445171	0.0003268656309868618	0.0002370649401198778	0.00026179182602867936	0.0003169851899704281	0.0025293170843872156	0.0002651767997732281	0.00024743319941330274	0.0002077891237235811	0.0005999157565107878	0.00047448708514344	0.0004092766372752071	0.00027386636948098254	0.0006877761024257334	0.000369045952583958	0.0006694506580238278	0.0002905991185160072	0.0001332219113710957	0.000767872043514334	0.0006513578740883814	0.00046759002770083104	0.0006750593347247531	0.00017875996447145706	0.0002870320054619683	0.0011218549983840831	0.00027941345527468736	0.00020504808865888787	0.0003737453204401522	0.00047899645723375024
k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanomicrobiaceae;g_Methanogenium;s_Methanogenium cariaci	0.0	0.0	0.0	0.0	0.00020638864287710992	0.00023609123033718242	2.5968090410503573e-05	0.00022034268257275762	0.00018879503246745227	6.8250019474482e-05	0.0	0.0	2.4280113042320236e-05	0.00017101632672728465	6.6147559189880395e-06	2.0264887876217644e-05	5.2081239073949614e-05	5.042417750327439e-05	2.7952005975708846e-05	0.00010402983071961144	8.82738090589978e-05	0.00011119632468440192	0.0	0.0	3.411728808280376e-05	5.975603862525845e-05	2.960955825427822e-05	2.9692283617483136e-05	0.0	0.0	1.5305146355462024e-05	6.678936119686536e-05	1.2764165032144422e-05	1.4206200153995209e-05	1.799018185825086e-05	0.0	2.6452927016374362e-05	2.120953750482517e-05	4.3860560353285274e-05	0.0	0.0	2.139581545395977e-05	1.6942834875131306e-05	3.9889196675900274e-05	1.7090109739867168e-05	7.820748445626246e-05	0.00010589530298596888	3.714751650278421e-05	7.66391191610571e-05	0.0001122882390274862	7.227119456025042e-05	2.9372424264333744e-05
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter;s_Methanobrevibacter thaueri	0.036810851063020046	0.032474148583320685	0.01043658263576938	0.009970512738921064	0.0011608272614142933	0.0009925743901389558	0.0005626419588942441	0.0015908576010563195	0.0009422107227814908	0.0016726614720421478	0.001105028514816273	0.0004335977343515526	0.0015285434801642513	0.0010869213190611716	0.00455582610294092	0.0013927504758564125	0.002918847089865029	0.002444089544864594	0.0007645948711509281	0.0011777899624465563	0.0016483436268516704	0.0013705593507612331	0.00038734875913900977	0.00035842534033658487	0.0012802237213652087	0.0015905555417684914	0.002557254775082907	0.001960894459981623	0.0004598758335249483	0.0005760737374383921	0.004650213634334545	0.001063682419061189	0.004748269391957725	0.005759193542429658	0.011234868570477662	0.00411884173506547	0.005636677865072437	0.005894130472590914	0.017860481865966744	0.0005811982370320144	0.0003391103198536981	0.006216673045789422	0.013806527886023667	0.008261495844875346	0.010294654854552485	0.0006815223645474301	0.0015243350192980256	0.000326898145224501	0.0016317745788041742	0.0019162232094907972	0.0044519055849114265	0.009866875135565036
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanothermobacter;s_Methanothermobacter sp.	6.342980160426654e-06	3.251750525699668e-05	0.0	0.0	3.1350173601586316e-05	2.4330012286656206e-05	4.039480730522778e-06	9.940271394259742e-06	2.823103289232931e-06	2.858639559140607e-06	0.002248161461177935	2.953861773126641e-05	0.0	3.159654997270848e-06	9.399916305930372e-06	1.842262534201604e-06	4.595403447701437e-06	8.474651681222587e-06	3.440246889318012e-06	5.963493480742057e-06	8.148351605445951e-06	8.496729128708453e-06	5.3798438769306914e-05	0.0	8.25418260067833e-06	9.796071905780074e-06	2.1665530429959674e-06	1.3642400581005765e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4263876969306514e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.037669004410382e-06
k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanocorpusculaceae;g_Methanocorpusculum;s_Unclassified Methanocorpusculum	0.0	0.0	4.215949358016312e-06	1.212220393789795e-05	0.0014098869739157848	0.0015918135816436365	0.0008194375196203349	0.0020626063143088964	0.0017295036525663244	0.0004773928063764814	0.0	3.646742929785976e-06	0.00039179273318289473	0.0013033576863742248	9.92213387848206e-05	0.0002195976940768312	0.001020179565389719	0.0013644189206768365	0.001784198042972554	0.001208932650623765	0.0011271886387533565	0.0013011078257091813	3.227906326158415e-05	4.354700396612713e-05	0.0014805252191416696	0.0008205842899741776	0.0006037461146482096	0.0011082444236687626	0.0	5.486416547032306e-05	0.0004897646833747848	0.0015089448270402912	0.0002978305174167032	0.0005739304862214065	0.0006881244560780953	0.0016865829882888232	0.0010757523653325573	0.0010647187827422236	0.000909529514694442	0.0	0.0	0.0011006958394648193	0.00047816445092037244	0.0006626038781163435	0.0006836043895946867	0.0013071822401975297	0.0011286209923504578	0.0005163504793887004	0.0016589176001737154	0.0024190792364399746	0.0006483758597691039	0.0007501265273660618
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanosphaera;s_Unclassified Methanosphaera	0.014417593904649785	0.01072671204665178	0.0015050939208118232	0.001560733757004361	9.492135896035857e-05	5.72205844519507e-05	6.434315735046996e-05	0.00013419366382250652	7.798822836505972e-05	0.00011398825242073172	5.080590872718497e-05	2.771524626637342e-05	0.00010815686718851742	9.755434804073743e-05	0.00031541941382121915	8.069109899803025e-05	0.00018879449164306734	0.00018262874373034676	7.482536984266676e-05	5.367144132667852e-05	0.00011305837852556257	9.3833443421389e-05	7.531781427702969e-05	5.359631257369493e-05	8.969545092737117e-05	8.979732580298402e-05	0.0001834348243069919	0.0001356215116582338	0.010807082087836284	0.00021031263430290506	0.00020151776034691666	7.173672128552205e-05	0.0005658779830917361	0.0003324250836034879	0.00042501804640117656	0.00034165507479805746	0.0003438880512128667	0.00035419927633058035	0.00102033514085011	0.0003874654913546762	0.006757984231370127	0.0004350482475638487	0.0018637118362644439	0.000607202216066482	0.0006729230710072697	6.982811112166292e-05	0.00014212264348116875	1.4859006601113683e-05	0.00010537878884645352	0.0001293755797490602	0.00017345086694460103	0.0005490383920179308
