Sample No.	Date of Sampling	Sample Name	Description	Description 2	Microbial DNA
2020-56-400	7/21/2020	Feed residue d13 (24h) Trt4-run2-HP2	Feed residue at day 13 from 24h bag	Treatment 4 run 2 heat pump 2	101
2020-56-401	7/21/2020	Feed residue d13 (48h) Trt4-run2-HP2	Feed residue at day 13 from 48h bag	Treatment 4 run 2 heat pump 2	102
2020-56-402	7/21/2020	Feed residue d13 (24h) Trt5-run2-HP1	Feed residue at day 13 from 24h bag	Treatment 5 run 2 heat pump 1	103
2020-56-403	7/21/2020	Feed residue d13 (48h) Trt5-run2-HP1	Feed residue at day 13 from 48h bag	Treatment 5 run 2 heat pump 1	104
2020-56-404	7/21/2020	Feed residue d13 (24h) Trt5-run2-HP2	Feed residue at day 13 from 24h bag	Treatment 5 run 2 heat pump 2	105
2020-56-405	7/21/2020	Feed residue d13 (48h) Trt5-run2-HP2	Feed residue at day 13 from 48h bag	Treatment 5 run 2 heat pump 2	106
2020-56-406	7/21/2020	Feed residue d13 (24h) Trt6-run2-HP1	Feed residue at day 13 from 24h bag	Treatment 6 run 2 heat pump 1	107
2020-56-407	7/21/2020	Feed residue d13 (48h) Trt6-run2-HP1	Feed residue at day 13 from 48h bag	Treatment 6 run 2 heat pump 1	108
2020-56-408	7/21/2020	Feed residue d13 (24h) Trt6-run2-HP2	Feed residue at day 13 from 24h bag	Treatment 6 run 2 heat pump 2	109
2020-56-409	7/21/2020	Feed residue d13 (48h) Trt6-run2-HP2	Feed residue at day 13 from 48h bag	Treatment 6 run 2 heat pump 2	110
2020-56-410	7/15/2020	Fermenter liquid d7 Trt1-run2-HP1	Fermenter liquid at day 7	Treatment 1 run 2 heat pump 1	111
2020-56-411	7/15/2020	Fermenter liquid d7 Trt1-run2-HP2	Fermenter liquid at day 7	Treatment 1 run 2 heat pump 2	112
2020-56-412	7/15/2020	Fermenter liquid d7 Trt2-run2-HP1	Fermenter liquid at day 7	Treatment 2 run 2 heat pump 1	113
2020-56-413	7/15/2020	Fermenter liquid d7 Trt2-run2-HP2	Fermenter liquid at day 7	Treatment 2 run 2 heat pump 2	114
2020-56-414	7/15/2020	Fermenter liquid d7 Trt3-run2-HP1	Fermenter liquid at day 7	Treatment 3 run 2 heat pump 1	115
2020-56-415	7/15/2020	Fermenter liquid d7 Trt3-run2-HP2	Fermenter liquid at day 7	Treatment 3 run 2 heat pump 2	116
2020-56-416	7/15/2020	Fermenter liquid d7 Trt4-run2-HP1	Fermenter liquid at day 7	Treatment 4 run 2 heat pump 1	117
2020-56-417	7/15/2020	Fermenter liquid d7 Trt4-run2-HP2	Fermenter liquid at day 7	Treatment 4 run 2 heat pump 2	118
2020-56-418	7/15/2020	Fermenter liquid d7 Trt5-run2-HP1	Fermenter liquid at day 7	Treatment 5 run 2 heat pump 1	119
2020-56-419	7/15/2020	Fermenter liquid d7 Trt5-run2-HP2	Fermenter liquid at day 7	Treatment 5 run 2 heat pump 2	120
2020-56-420	7/15/2020	Fermenter liquid d7 Trt6-run2-HP1	Fermenter liquid at day 7	Treatment 6 run 2 heat pump 1	121
2020-56-421	7/15/2020	Fermenter liquid d7 Trt6-run2-HP2	Fermenter liquid at day 7	Treatment 6 run 2 heat pump 2	122
2020-56-422	7/21/2020	Fermenter liquid d13 Trt1-run2-HP1	Fermenter liquid at day 13	Treatment 1 run 2 heat pump 1	123
2020-56-423	7/21/2020	Fermenter liquid d13 Trt1-run2-HP2	Fermenter liquid at day 13	Treatment 1 run 2 heat pump 2	124
2020-56-424	7/21/2020	Fermenter liquid d13 Trt2-run2-HP1	Fermenter liquid at day 13	Treatment 2 run 2 heat pump 1	125
2020-56-425	7/21/2020	Fermenter liquid d13 Trt2-run2-HP2	Fermenter liquid at day 13	Treatment 2 run 2 heat pump 2	126
2020-56-426	7/21/2020	Fermenter liquid d13 Trt3-run2-HP1	Fermenter liquid at day 13	Treatment 3 run 2 heat pump 1	127
2020-56-427	7/21/2020	Fermenter liquid d13 Trt3-run2-HP2	Fermenter liquid at day 13	Treatment 3 run 2 heat pump 2	128
2020-56-428	7/21/2020	Fermenter liquid d13 Trt4-run2-HP1	Fermenter liquid at day 13	Treatment 4 run 2 heat pump 1	129
2020-56-429	7/21/2020	Fermenter liquid d13 Trt4-run2-HP2	Fermenter liquid at day 13	Treatment 4 run 2 heat pump 2	130
2020-56-430	7/21/2020	Fermenter liquid d13 Trt5-run2-HP1	Fermenter liquid at day 13	Treatment 5 run 2 heat pump 1	131
