	s100	s102	s104	s106	s108	s110	s11	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s13	s15	s17	s19	s1	s21	s23	s25	s27	s29	s31	s44	s45	s46	s47	s48	s49	s4	s50	s51	s52	s53	s54	s55	s80	s83	s88	s90	s92	s94	s96	s98	s9
rstcMAG_175 Lachnospiraceae (UBA1066 sp900317045)	664.66	847.768	1211.764	323.277	835.203	705.473	1140.889	298.978	369.057	583.84	403.481	423.501	458.426	1262.707	560.598	483.414	491.471	447.533	591.944	1325.27	812.587	730.169	1764.004	2456.185	1260.749	1113.052	1065.002	1021.605	1326.928	1296.342	489.865	261.803	384.628	256.372	757.142	232.495	758.406	1802.422	1985.57	367.31	414.635	448.484	315.589	2366.729	1096.97	217.925	719.52	285.882	297.7	920.333	688.91	2528.874
rstcMAG_180 Paludibacteraceae (UBA1723 sp002371265)	19332.643	13979.336	6581.09	4814.235	6643.17	17781.964	1204.176	150.785	453.397	282.778	221.717	203.903	319.46	4751.346	258.459	183.441	258.354	215.567	336.153	2853.85	1320.214	2228.768	2170.258	1443.956	8857.525	7932.404	1420.721	3666.914	785.17	1314.372	144.879	136.627	98.905	82.996	144.12	110.433	930.982	2088.253	1633.711	218.481	362.29	122.256	138.132	2381.553	1030.334	814.608	9825.216	8413.4	6337.809	31193.763	19859.459	1520.984
rstcMAG_181 Clostridia (HGM11501)	22.119	381.873	307.867	191.171	91.307	258.229	49.97	7911.115	7851.559	3539.219	2650.852	4734.193	13572.277	67.073	20211.601	11654.149	4674.071	1950.564	19617.676	233.598	53.974	70.185	46.871	527.1	19.808	23.647	50.105	59.32	51.092	51.21	2149.808	588.436	22658.823	2856.628	7531.373	342.533	281.266	77.624	85.431	3725.281	2193.357	4217.366	747.848	578.361	489.934	256.037	137.959	102.295	138.955	91.547	428.86	62.038
rstcMAG_186 Ruminococcus	106.952	125.666	438.998	654.511	488.48	424.455	1200.895	64.187	73.064	82.627	99.592	62.785	88.403	80.996	72.979	107.059	107.711	85.739	91.639	1160.17	1288.84	1326.229	1740.889	4751.227	68.565	313.246	1763.457	2658.05	4956.673	2026.051	240.968	566.309	256.91	638.609	467.438	528.424	1128.409	141.369	258.706	637.501	521.981	1010.246	609.035	3976.509	1356.704	116.079	240.112	147.053	222.374	177.383	482.425	862.331
rstcMAG_189 Intestinimonas butyriciproducens	134.69	467.625	552.399	273.616	274.276	241.846	648.993	220.771	217.609	367.18	303.299	282.243	298.928	270.616	454.571	416.396	386.986	337.253	295.086	727.622	552.693	463.985	660.245	1727.51	351.458	96.855	845.696	712.484	686.513	610.382	210.42	289.93	329.13	302.615	272.694	227.274	508.331	395.038	386.199	262.903	280.904	394.802	288.275	1884.26	793.476	133.89	288.145	264.664	185.702	527.913	424.058	513.7
rstcMAG_193 Intestinimonas massiliensis	153.002	232.183	328.699	104.771	223.944	192.996	286.782	390.945	403.202	627.792	500.097	466.108	505.968	606.681	666.697	672.17	568.137	654.166	630.991	613.99	255.561	300.464	344.855	3668.793	280.847	415.79	327.979	300.751	422.802	412.819	355.667	673.032	1432.673	1247.056	1953.414	1368.048	1031.63	1039.893	9720.88	1061.277	950.858	6431.268	1560.386	4147.247	1653.966	78.842	181.393	84.353	104.986	184.827	191.608	259.89
rstcMAG_204 Anaerovoracaceae	455.487	352.94	1244.428	679.395	900.127	1114.938	619.371	321.437	271.231	314.066	485.77	297.535	311.482	151.711	125.754	349.311	189.316	379.088	389.292	1872.151	715.151	1042.744	505.481	590.238	268.133	1791.759	762.295	1060.585	1019.273	786.874	111.391	93.735	122.564	109.685	132.014	99.373	213.874	119.951	109.457	247.858	139.706	148.93	98.969	572.197	324.354	659.209	629.318	1662.317	551.215	1957.421	1650.872	667.419
rstcMAG_216 unclassified Oscillospiraceae	21.81	151.301	62.19	152.635	43.805	78.818	34.79	272.2	1354.113	172.141	1028.423	124.863	1020.544	63.202	2704.089	164.271	2518.709	172.464	866.448	106.587	144.155	60.059	42.758	537.536	16.408	21.834	145.679	46.527	41.488	39.681	77.715	70.802	384.69	2839.577	197.52	64.888	290.404	56.906	57.105	253.304	94.083	92.602	73.847	596.463	662.189	44.143	68.027	33.59	156.276	52.77	76.512	36.527
rstcMAG_217 Lachnospiraceae (UBA1066)	103.75	128.498	171.057	65.321	133.145	137.105	346.059	594.526	369.153	416.753	280.009	407.876	392.738	1031.192	395.139	661.933	439.425	532.14	481.801	349.832	190.63	185.205	346.326	2014.19	226.096	202.66	235.533	298.258	314.635	390.511	530.39	895.525	759.366	534.468	531.46	434.845	659.965	1962.808	1532.635	523.769	812.673	527.367	639.661	2002.652	913.824	86.803	132.258	61.073	67.873	143.356	127.526	324.925
rstcMAG_221 Acutalibacteraceae (UBA737)	73.086	135.009	397.648	931.49	476.235	266.603	64.018	221.681	8237.164	22985.159	15534.644	18746.756	12081.887	3245.75	2022.107	11807.882	27227.822	18047.379	16209.493	67.836	59.513	48.138	51.574	727.973	30.947	39.154	48.555	66.752	50.96	60.285	235.173	117.913	195.125	135.36	138.401	105.095	762.833	151.352	88.212	151.997	162.995	130.141	147.05	794.048	1899.468	33.356	200.947	867.207	976.445	217.167	515.185	56.683
