	id	Trt	LFC	qval	sType	Domain
145	80e76fce75cdd45abb462b692c741f77	FV2	-3.165539974266962	0.0281409055494996	FR	Archaea
149	fa29c8518ce1e3142ffee3967b632b9b	FV2	1.0364988651774691	6.861392617633093e-05	FR	Archaea
31	a8cfbc62f1b026cc630707ef29fb1e81	AN1	1.855134931242615	0.0271600709546763	FL	Bacteria
36	77187fc5bcbdc5af239a6fef481430b2	AN1	1.140210294487832	0.0007714496501232325	FL	Bacteria
44	802336f722117711ba9c546f49a4f50f	AN1	0.9698385433271992	0.0224038242423032	FL	Bacteria
50	6adaf419706d3d0a187af1c76a0f394d	AN1	0.6478402734793506	0.0315662954274721	FL	Bacteria
54	5b25091ddb32e4891a1459afc1e78453	AN1	1.5617660140145029	0.0005701900017899804	FL	Bacteria
68	badda22ec738da2702c7704599cf9406	AN2	-0.9201790620927912	0.0497114491778053	FL	Bacteria
69	5761ceb330f025f2404a8e5dd24f458e	AN2	-0.6448626975286512	0.0342525998183517	FL	Bacteria
73	802336f722117711ba9c546f49a4f50f	AN2	0.957537076095579	0.0447938495994511	FL	Bacteria
87	e20bc54198f1cdb1cb6d03c9072706cd	AT	3.1337712519329752	2.3655970475280287e-21	FL	Bacteria
89	a8cfbc62f1b026cc630707ef29fb1e81	AT	-2.931465562299146	0.0003361552445139783	FL	Bacteria
90	b941588aec217c8ba304ecb5a00aaa02	AT	1.509758082839811	0.0256392936416236	FL	Bacteria
91	7e59874a27bb56390e52787ae5c25870	AT	-3.291817124664844	0.00028392431540237795	FL	Bacteria
92	e60a57246f4b2b0a58ac4bcfd40c7b33	AT	-2.8853606636801	2.9785445319217262e-05	FL	Bacteria
93	896920b38704fd64a368bdcdf9063088	AT	1.9710957649592464	0.00020900478669028864	FL	Bacteria
94	77187fc5bcbdc5af239a6fef481430b2	AT	2.9856956475062786	7.192163516417482e-07	FL	Bacteria
95	64d69b242a754607106b54b39a76ef52	AT	2.229186621184371	0.029827576578011	FL	Bacteria
97	badda22ec738da2702c7704599cf9406	AT	1.5838830173121072	3.4438395401390935e-07	FL	Bacteria
98	5761ceb330f025f2404a8e5dd24f458e	AT	1.654790020180168	2.8311513383701545e-11	FL	Bacteria
99	56d685c113f8329e5f7519d655830acf	AT	1.7956033422662725	0.00038207265317097554	FL	Bacteria
100	4d5dc11a2bb7f540863dd3a3aa37da09	AT	1.2532445412459048	0.0014815856967464	FL	Bacteria
102	802336f722117711ba9c546f49a4f50f	AT	2.454565869867952	1.7486342915976308e-07	FL	Bacteria
104	a68533f422506e68da40b4ebe4171533	AT	-2.51339677358636	0.0006252731509038469	FL	Bacteria
105	18f1604a856e5e57d3ff6e3582a275dc	AT	-3.738372526513765	0.00014584270522616217	FL	Bacteria
107	27b1b45bce78728b76f84cd35efdae0a	AT	1.6682862681068191	0.0003410162273814302	FL	Bacteria
108	6adaf419706d3d0a187af1c76a0f394d	AT	1.946327778231005	3.32792946408904e-15	FL	Bacteria
109	a72fc141de587861b385f740a0d71969	AT	-2.685135426147486	0.0020414131944258	FL	Bacteria
111	e9d966159ed58af268706fcec3b3f52a	AT	1.703197197752293	0.0003410162273814302	FL	Bacteria
112	5b25091ddb32e4891a1459afc1e78453	AT	-2.4791320412581306	4.619575972668806e-07	FL	Bacteria
123	77187fc5bcbdc5af239a6fef481430b2	FV1	1.2944526012120758	1.7982441181101648e-06	FL	Bacteria
126	badda22ec738da2702c7704599cf9406	FV1	0.4876989094559342	0.0439816192791796	FL	Bacteria
131	802336f722117711ba9c546f49a4f50f	FV1	0.9516186835400664	0.0432172933003215	FL	Bacteria
143	44cf32a2959aa13158a30e31b4fdb77b	FV1	-1.481666759692354	0.0439018659428641	FL	Bacteria
152	77187fc5bcbdc5af239a6fef481430b2	FV2	0.9988695832659432	0.0112297329906957	FL	Bacteria
160	802336f722117711ba9c546f49a4f50f	FV2	1.0141081749281198	0.0034545944237891	FL	Bacteria
93	922217d724c8ed96a6e92be9b81cc7fb	AN2	3.660740803016685	0.0015572706527677	FR	Bacteria
