Feature ID	Taxon
k_Archaea;p_Candidatus Thermoplasmatota;c_Unclassified Candidatus Thermoplasmatota;o_Unclassified Candidatus Thermoplasmatota;f_Unclassified Candidatus Thermoplasmatota;g_Unclassified Candidatus Thermoplasmatota;s_Unclassified Candidatus Thermoplasmatota	k_Archaea;p_Candidatus Thermoplasmatota;c_Unclassified Candidatus Thermoplasmatota;o_Unclassified Candidatus Thermoplasmatota;f_Unclassified Candidatus Thermoplasmatota;g_Unclassified Candidatus Thermoplasmatota;s_Unclassified Candidatus Thermoplasmatota
k_Archaea;p_Candidatus Thorarchaeota;c_Candidatus Thorarchaeota archaeon (no class in NCBI);o_Candidatus Thorarchaeota archaeon (no order in NCBI);f_Candidatus Thorarchaeota archaeon (no family in NCBI);g_Candidatus Thorarchaeota archaeon (no genus in NCBI);s_Candidatus Thorarchaeota archaeon	k_Archaea;p_Candidatus Thorarchaeota;c_Candidatus Thorarchaeota archaeon (no class in NCBI);o_Candidatus Thorarchaeota archaeon (no order in NCBI);f_Candidatus Thorarchaeota archaeon (no family in NCBI);g_Candidatus Thorarchaeota archaeon (no genus in NCBI);s_Candidatus Thorarchaeota archaeon
k_Archaea;p_Candidatus Verstraetearchaeota;c_Candidatus Methanomethylia;o_Candidatus Methanomethyliales;f_Candidatus Methanomethyliaceae;g_Candidatus Methanosuratus;s_Candidatus Methanosuratus sp.	k_Archaea;p_Candidatus Verstraetearchaeota;c_Candidatus Methanomethylia;o_Candidatus Methanomethyliales;f_Candidatus Methanomethyliaceae;g_Candidatus Methanosuratus;s_Candidatus Methanosuratus sp.
k_Archaea;p_Candidatus Woesearchaeota;c_Candidatus Woesearchaeota archaeon (no class in NCBI);o_Candidatus Woesearchaeota archaeon (no order in NCBI);f_Candidatus Woesearchaeota archaeon (no family in NCBI);g_Candidatus Woesearchaeota archaeon (no genus in NCBI);s_Candidatus Woesearchaeota archaeon	k_Archaea;p_Candidatus Woesearchaeota;c_Candidatus Woesearchaeota archaeon (no class in NCBI);o_Candidatus Woesearchaeota archaeon (no order in NCBI);f_Candidatus Woesearchaeota archaeon (no family in NCBI);g_Candidatus Woesearchaeota archaeon (no genus in NCBI);s_Candidatus Woesearchaeota archaeon
k_Archaea;p_Crenarchaeota;c_Crenarchaeota archaeon (no class in NCBI);o_Crenarchaeota archaeon (no order in NCBI);f_Crenarchaeota archaeon (no family in NCBI);g_Crenarchaeota archaeon (no genus in NCBI);s_Crenarchaeota archaeon	k_Archaea;p_Crenarchaeota;c_Crenarchaeota archaeon (no class in NCBI);o_Crenarchaeota archaeon (no order in NCBI);f_Crenarchaeota archaeon (no family in NCBI);g_Crenarchaeota archaeon (no genus in NCBI);s_Crenarchaeota archaeon
k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Fervidicoccales;f_Fervidicoccaceae;g_Fervidicoccus;s_Fervidicoccus fontis	k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Fervidicoccales;f_Fervidicoccaceae;g_Fervidicoccus;s_Fervidicoccus fontis
k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Sulfolobales;f_Sulfolobaceae;g_Sulfolobus;s_Sulfolobus islandicus	k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Sulfolobales;f_Sulfolobaceae;g_Sulfolobus;s_Sulfolobus islandicus
k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Thermoproteales;f_Thermofilaceae;g_Thermofilaceae archaeon (no genus in NCBI);s_Thermofilaceae archaeon	k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Thermoproteales;f_Thermofilaceae;g_Thermofilaceae archaeon (no genus in NCBI);s_Thermofilaceae archaeon
k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Thermoproteales;f_Thermofilaceae;g_Thermofilum;s_Thermofilum sp.	k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Thermoproteales;f_Thermofilaceae;g_Thermofilum;s_Thermofilum sp.
k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Thermoproteales;f_Thermoproteaceae;g_Thermoproteus;s_Thermoproteus sp.	k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Thermoproteales;f_Thermoproteaceae;g_Thermoproteus;s_Thermoproteus sp.
k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Thermoprotei archaeon (no order in NCBI);f_Thermoprotei archaeon (no family in NCBI);g_Thermoprotei archaeon (no genus in NCBI);s_Thermoprotei archaeon	k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Thermoprotei archaeon (no order in NCBI);f_Thermoprotei archaeon (no family in NCBI);g_Thermoprotei archaeon (no genus in NCBI);s_Thermoprotei archaeon
k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Unclassified Thermoprotei;f_Unclassified Thermoprotei;g_Unclassified Thermoprotei;s_Unclassified Thermoprotei	k_Archaea;p_Crenarchaeota;c_Thermoprotei;o_Unclassified Thermoprotei;f_Unclassified Thermoprotei;g_Unclassified Thermoprotei;s_Unclassified Thermoprotei
k_Archaea;p_Crenarchaeota;c_Unclassified Crenarchaeota;o_Unclassified Crenarchaeota;f_Unclassified Crenarchaeota;g_Unclassified Crenarchaeota;s_Unclassified Crenarchaeota	k_Archaea;p_Crenarchaeota;c_Unclassified Crenarchaeota;o_Unclassified Crenarchaeota;f_Unclassified Crenarchaeota;g_Unclassified Crenarchaeota;s_Unclassified Crenarchaeota
k_Archaea;p_Euryarchaeota;c_Archaeoglobi;o_Archaeoglobales;f_Archaeoglobaceae;g_Unclassified Archaeoglobaceae;s_Unclassified Archaeoglobaceae	k_Archaea;p_Euryarchaeota;c_Archaeoglobi;o_Archaeoglobales;f_Archaeoglobaceae;g_Unclassified Archaeoglobaceae;s_Unclassified Archaeoglobaceae
k_Archaea;p_Euryarchaeota;c_Candidatus Methanofastidiosa;o_Candidatus Methanofastidiosa archaeon (no order in NCBI);f_Candidatus Methanofastidiosa archaeon (no family in NCBI);g_Candidatus Methanofastidiosa archaeon (no genus in NCBI);s_Candidatus Methanofastidiosa archaeon	k_Archaea;p_Euryarchaeota;c_Candidatus Methanofastidiosa;o_Candidatus Methanofastidiosa archaeon (no order in NCBI);f_Candidatus Methanofastidiosa archaeon (no family in NCBI);g_Candidatus Methanofastidiosa archaeon (no genus in NCBI);s_Candidatus Methanofastidiosa archaeon
k_Archaea;p_Euryarchaeota;c_Candidatus Methanofastidiosa;o_Candidatus Methanofastidiosum (no order in NCBI);f_Candidatus Methanofastidiosum (no family in NCBI);g_Candidatus Methanofastidiosum;s_Candidatus Methanofastidiosum methylthiophilus	k_Archaea;p_Euryarchaeota;c_Candidatus Methanofastidiosa;o_Candidatus Methanofastidiosum (no order in NCBI);f_Candidatus Methanofastidiosum (no family in NCBI);g_Candidatus Methanofastidiosum;s_Candidatus Methanofastidiosum methylthiophilus
k_Archaea;p_Euryarchaeota;c_Candidatus Methanofastidiosa;o_Candidatus Methanofastidiosum (no order in NCBI);f_Candidatus Methanofastidiosum (no family in NCBI);g_Candidatus Methanofastidiosum;s_Candidatus Methanofastidiosum sp.	k_Archaea;p_Euryarchaeota;c_Candidatus Methanofastidiosa;o_Candidatus Methanofastidiosum (no order in NCBI);f_Candidatus Methanofastidiosum (no family in NCBI);g_Candidatus Methanofastidiosum;s_Candidatus Methanofastidiosum sp.
k_Archaea;p_Euryarchaeota;c_Candidatus Methanofastidiosa;o_Unclassified Candidatus Methanofastidiosa;f_Unclassified Candidatus Methanofastidiosa;g_Unclassified Candidatus Methanofastidiosa;s_Unclassified Candidatus Methanofastidiosa	k_Archaea;p_Euryarchaeota;c_Candidatus Methanofastidiosa;o_Unclassified Candidatus Methanofastidiosa;f_Unclassified Candidatus Methanofastidiosa;g_Unclassified Candidatus Methanofastidiosa;s_Unclassified Candidatus Methanofastidiosa
k_Archaea;p_Euryarchaeota;c_Euryarchaeota archaeon (no class in NCBI);o_Euryarchaeota archaeon (no order in NCBI);f_Euryarchaeota archaeon (no family in NCBI);g_Euryarchaeota archaeon (no genus in NCBI);s_Euryarchaeota archaeon	k_Archaea;p_Euryarchaeota;c_Euryarchaeota archaeon (no class in NCBI);o_Euryarchaeota archaeon (no order in NCBI);f_Euryarchaeota archaeon (no family in NCBI);g_Euryarchaeota archaeon (no genus in NCBI);s_Euryarchaeota archaeon
k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Haloarcula;s_Unclassified Haloarcula	k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Haloarcula;s_Unclassified Haloarcula
k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Halobacteriales;f_Halococcaceae;g_Halococcus;s_Unclassified Halococcus	k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Halobacteriales;f_Halococcaceae;g_Halococcus;s_Unclassified Halococcus
k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Halobellus;s_Halobellus sp.	k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Halobellus;s_Halobellus sp.
k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Haloferacales;f_Halorubraceae;g_Halorubraceae archaeon (no genus in NCBI);s_Halorubraceae archaeon	k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Haloferacales;f_Halorubraceae;g_Halorubraceae archaeon (no genus in NCBI);s_Halorubraceae archaeon
k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Haloferacales;f_Halorubraceae;g_Halorubrum;s_Unclassified Halorubrum	k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Haloferacales;f_Halorubraceae;g_Halorubrum;s_Unclassified Halorubrum
k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Haloferacales;f_Unclassified Haloferacales;g_Unclassified Haloferacales;s_Unclassified Haloferacales	k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Haloferacales;f_Unclassified Haloferacales;g_Unclassified Haloferacales;s_Unclassified Haloferacales
k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Natrialbales;f_Natrialbaceae;g_Natrarchaeobius;s_Natrarchaeobius halalkaliphilus	k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Natrialbales;f_Natrialbaceae;g_Natrarchaeobius;s_Natrarchaeobius halalkaliphilus
k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Natrialbales;f_Natrialbaceae;g_Natrialba;s_Natrialba sp.	k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Natrialbales;f_Natrialbaceae;g_Natrialba;s_Natrialba sp.
k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Unclassified Halobacteria;f_Unclassified Halobacteria;g_Unclassified Halobacteria;s_Unclassified Halobacteria	k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Unclassified Halobacteria;f_Unclassified Halobacteria;g_Unclassified Halobacteria;s_Unclassified Halobacteria
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacteriaceae archaeon (no genus in NCBI);s_Methanobacteriaceae archaeon	k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacteriaceae archaeon (no genus in NCBI);s_Methanobacteriaceae archaeon
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacterium;s_Methanobacterium formicicum	k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacterium;s_Methanobacterium formicicum
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacterium;s_Methanobacterium sp.	k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacterium;s_Methanobacterium sp.
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacterium;s_Unclassified Methanobacterium	k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacterium;s_Unclassified Methanobacterium
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter;s_Methanobrevibacter arboriphilus	k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter;s_Methanobrevibacter arboriphilus
