Feature ID	Taxon	Confidence	Consensus	Method
00c39839830ce17f2cb8fa1e5605db80	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Marsarchaeales;f__Marsarchaeaceae;g__JAKAWJ01;s__JAKAWJ01 sp021800035	0.7167361412926438	1.0	sklearn
00e24896b791b0cf9bf1f48f89abd5fc	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp000350305	0.9756231419256118	1.0	sklearn
018d29a002e68c0e3f2a5961567395ca	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A	0.9999999856526309	1.0	sklearn
0392deb88b8f544ed4a19feb0ecab850	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera sp001729965	0.7195181847574774	1.0	sklearn
03a7a7f5dbbc9b92c83842a5d6ed7e46	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Marsarchaeales;f__Marsarchaeaceae;g__JAKAWJ01;s__JAKAWJ01 sp021800035	0.72022209440909	1.0	sklearn
06cb8736349c0bd2c9b3eebb57e113f6	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Marsarchaeales;f__Marsarchaeaceae;g__JAKAWJ01;s__JAKAWJ01 sp021800035	0.7176146891252148	1.0	sklearn
09762659e4ca964db7dfb1e93afe43dc	d__Archaea;p__Thermoproteota	0.9585790340610656	1.0	sklearn
0ad662a3a340555351ccccc4cd3447f2	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__JAKSHX01;s__JAKSHX01 sp024399155	0.9957341437622804	1.0	sklearn
0b31d5ec3b9fed05777716f4dc79c1fa	d__Archaea	1.0000000000000022	1.0	sklearn
0b4b587cac1df6a2fd9683a5ebd0d1ba	d__Archaea;p__Thermoproteota	0.8165516910327477	1.0	sklearn
0d6251311f0e73fd74390fec0018757a	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae	0.9999999515579489	1.0	sklearn
0da8afd9168583259aa87ac2c0e31ee9	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Marsarchaeales;f__Marsarchaeaceae;g__JAKAWJ01;s__JAKAWJ01 sp021800035	0.7182782722033434	1.0	sklearn
10ac7aa246bee0c99d03210327da3a3c	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A		1.0	VSEARCH
123250f070f7ac6d8be91dd79eb89b31	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71	0.8419357564213055	1.0	sklearn
14be5ab37e3ee083c87b975b03fd1e43	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0.9999994851786029	1.0	sklearn
163a17338f18f3cd512b290fb3bfb9f2	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A	0.999999973757779	1.0	sklearn
17a33a13cfb49c627e38247949ad8e16	d__Archaea;p__Thermoproteota	0.9594383192108051	1.0	sklearn
18fc6f603c241a85081a81ba1c7b5216	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter ruminantium	0.9851505948831385	1.0	sklearn
19d83655a524dcc8d80238562eec57bd	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A	0.9999999943943192	1.0	sklearn
1d65d85faa03db28807d3972f5c38d8c	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21	0.9999701587376452	1.0	sklearn
1e8a3c2eae3f4158f87ba478bd8f984c	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0.9999999398815513	1.0	sklearn
1ec4266253a3bbc4963197adaaac1802	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71	0.8143692614344026	1.0	sklearn
1ec80c7af4c59a80dd28915593dc5f1a	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanarcanum;s__Methanarcanum hacksteinii	0.9861483567965609	1.0	sklearn
1ef7fd34783517b67c10aaa82e70641b	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A	0.9999999991192339	1.0	sklearn
1fa5d3b4e31783d796184490deac9959	d__Archaea	1.0000000000000149	1.0	sklearn
20c6cd15985d1947c8242d29e42feaeb	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A	0.9999999916539081	1.0	sklearn
23a3c9b6f70376eadf564b74d5bdf3c7	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp001481295		1.0	VSEARCH
23b09a57cc19b2b36e5e1a8086d89063	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A	0.9999999852338549	1.0	sklearn
24846e5f301b4b6105e9ddb800e77e2c	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Marsarchaeales;f__Marsarchaeaceae;g__JAKAWJ01;s__JAKAWJ01 sp021800035	0.7142078090659553	1.0	sklearn
2aa642a2b41a727b9881a4d122c95c2b	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera sp001729965	0.8314149582168741	1.0	sklearn
2bd23e8da0471c86c9ecabdb2bf1a601	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A	0.9999999845689692	1.0	sklearn
32f33c55f6c7e0669037d8509e226dbf	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanomicrobium;s__Methanomicrobium mobile	0.9999999934569104	1.0	sklearn
3532fb8636cfbcc0309c985721ce3c54	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0.9999995578863126	1.0	sklearn
362590a02b57ce21a5b73cd2d9d38aec	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp000350305	0.996941951302828	1.0	sklearn
37c03b396436fff90b9707c1892c3990	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanomicrobium;s__Methanomicrobium mobile		1.0	VSEARCH
38d66fc869fba0bfe98b373eea2e5f8d	d__Archaea	0.9999999999999899	1.0	sklearn
38e113f86ccbfb0dec959080ef87f2d6	d__Archaea;p__Thermoproteota	0.9630504191153033	1.0	sklearn
39bd817dffcacf7c707e8137788a40d6	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp001560915	0.9773979846610887	1.0	sklearn
3ade2cb1ea4943720efdbba4fe9d9170	d__Archaea;p__Thermoproteota	0.7803794655266548	1.0	sklearn
41a5b934ae7045f7c8f579e053701a5f	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__JAKSHX01;s__JAKSHX01 sp024399155	0.9944106423290519	1.0	sklearn
442791b78062a54bbb568e4b24fe2e6f	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__UBA588;s__UBA588 sp002509085	0.7772979719967879	1.0	sklearn
44ca318e04707d428d5caa9c5db3ec3c	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Marsarchaeales;f__Marsarchaeaceae;g__JAKAWJ01;s__JAKAWJ01 sp021800035	0.7205986853099295	1.0	sklearn
