#OTU ID	s1	s80	s4	s83	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s100	s102	s104	s106	s108	s110	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	s88	s90	s92	s94	s96	s98	s9
Galactose metabolism	647702.0	645356.0	869589.0	849282.0	474709.0	446334.0	424500.0	445655.0	469061.0	449443.0	535103.0	469416.0	445041.0	463557.0	449693.0	435139.0	433560.0	437766.0	387952.0	436540.0	422460.0	479967.0	565303.0	547958.0	403888.0	462045.0	448935.0	490459.0	626329.0	586785.0	488467.0	775796.0	542934.0	506176.0	545962.0	521207.0	529243.0	508291.0	488504.0	670915.0	574973.0	495136.0	462677.0	519805.0	518215.0	880161.0	552783.0	688539.0	697957.0	507428.0	538325.0	552486.0
Geraniol degradation	164.0	227.0	139.0	163.0	112.0	121.0	169.0	81.0	110.0	148.0	130.0	99.0	120.0	160.0	132.0	130.0	180.0	88.0	230.0	189.0	181.0	180.0	156.0	171.0	177.0	110.0	222.0	107.0	4.0	5.0	5.0	12.0	5.0	10.0	5.0	5.0	3.0	9.0	5.0	17.0	6.0	3.0	4.0	7.0	3.0	3.0	6.0	4.0	13.0	13.0	13.0	5.0
Glucosinolate biosynthesis	21.0	55.0	13.0	7.0	27.0	5.0	31.0	6.0	19.0	22.0	17.0	19.0	58.0	15.0	29.0	18.0	53.0	22.0	131.0	87.0	62.0	50.0	53.0	61.0	126.0	105.0	123.0	127.0	4.0	0.0	13.0	19.0	52.0	48.0	2.0	3.0	7.0	7.0	6.0	6.0	15.0	6.0	5.0	4.0	13.0	280.0	9.0	10.0	19.0	22.0	14.0	0.0
Glutathione metabolism	80049.0	73139.0	126131.0	117589.0	91342.0	92740.0	89350.0	93105.0	84491.0	85188.0	86851.0	87801.0	88315.0	94626.0	94076.0	83770.0	88765.0	84360.0	65830.0	102943.0	85000.0	111221.0	91439.0	83765.0	74757.0	107295.0	81592.0	106747.0	130376.0	117718.0	91804.0	180699.0	100895.0	86533.0	109388.0	87422.0	105055.0	101333.0	99981.0	123535.0	95169.0	102161.0	93945.0	98979.0	93658.0	229051.0	100480.0	159392.0	146842.0	81651.0	96933.0	103754.0
Glycerolipid metabolism	82512.0	87259.0	98885.0	79870.0	126618.0	124893.0	123142.0	116112.0	126082.0	121156.0	125900.0	110161.0	120999.0	116547.0	111596.0	124111.0	124603.0	123330.0	116626.0	116700.0	120114.0	120364.0	104579.0	107150.0	116961.0	108939.0	119262.0	108208.0	232429.0	200115.0	144656.0	313865.0	172441.0	148017.0	168041.0	152004.0	171017.0	170679.0	152499.0	214890.0	159995.0	168013.0	147903.0	172313.0	161228.0	401016.0	169213.0	274611.0	241021.0	140249.0	165036.0	177896.0
Glycerophospholipid metabolism	180179.0	178500.0	260277.0	216733.0	207768.0	213612.0	217097.0	221238.0	216067.0	208706.0	215092.0	206444.0	201963.0	208120.0	207741.0	215670.0	232866.0	234989.0	216395.0	222446.0	229096.0	227315.0	232704.0	225832.0	225347.0	219022.0	215863.0	220917.0	300044.0	260289.0	213823.0	377666.0	243528.0	213106.0	243322.0	220657.0	245501.0	239044.0	228660.0	287015.0	244069.0	249067.0	226905.0	243006.0	234513.0	482417.0	230607.0	341250.0	315087.0	206476.0	226537.0	254350.0
Glycine, serine and threonine metabolism	277153.0	289355.0	309334.0	294100.0	277463.0	280937.0	273950.0	276930.0	271053.0	262228.0	274997.0	276277.0	269634.0	279686.0	276402.0	254602.0	254025.0	252209.0	248044.0	283115.0	252802.0	297766.0	253909.0	254350.0	237272.0	291715.0	261724.0	290175.0	303088.0	286013.0	273174.0	351585.0	286435.0	269358.0	315336.0	320045.0	302449.0	314912.0	318253.0	346753.0	291057.0	338226.0	292679.0	333548.0	322143.0	434074.0	282796.0	338610.0	327699.0	277698.0	275575.0	319803.0
Glycolysis / Gluconeogenesis	915587.0	943275.0	1108842.0	1080441.0	912278.0	875040.0	872655.0	851062.0	862848.0	830431.0	807903.0	833535.0	830427.0	877281.0	857882.0	824119.0	853683.0	852463.0	829990.0	922013.0	831170.0	964602.0	771930.0	746275.0	831117.0	926145.0	812285.0	925798.0	999138.0	932755.0	786078.0	1335182.0	877398.0	772159.0	933920.0	835043.0	899051.0	888618.0	909274.0	1072026.0	844566.0	907069.0	856052.0	910162.0	878757.0	1554489.0	849996.0	1170287.0	1125295.0	759317.0	822129.0	918262.0
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	48.0	41.0	214.0	189.0	199.0	224.0	235.0	424.0	296.0	329.0	405.0	460.0	208.0	202.0	280.0	335.0	375.0	518.0	449.0	452.0	1232.0	449.0	629.0	496.0	232.0	395.0	377.0	267.0	471.0	646.0	449.0	375.0	633.0	787.0	1000.0	863.0	1119.0	849.0	1338.0	1409.0	830.0	1086.0	1100.0	1040.0	721.0	476.0	711.0	294.0	894.0	672.0	624.0	998.0
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	285.0	107.0	342.0	210.0	15.0	10.0	19.0	9.0	12.0	26.0	32.0	11.0	17.0	17.0	9.0	15.0	16.0	16.0	16.0	12.0	4.0	2.0	21.0	14.0	8.0	2.0	39.0	7.0	2.0	0.0	10.0	49.0	8.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	3.0	2.0	6.0	3.0	17.0	3.0	3.0	6.0	0.0
